full_name,disabled,has_projects,stargazers_count,subscribers_count,self_issue_count,pushed_at,pull_count,network_count,forks,watchers,open_issues,has_wiki,size,archived,fork,has_downloads,issue_count,language,created_at,mirror_url,has_pages,updated_at,id,description
daneden/animate.css,False,True,63570,2430,5,2019-11-28T13:21:31Z,17,13475,13475,63570,31,False,980,False,False,True,9,CSS,2011-10-12T10:07:38Z,,True,2019-12-07T05:00:12Z,2561582,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.
WordPress/WordPress,False,False,13198,1461,0,2019-12-06T22:44:10Z,0,8060,8060,13198,0,False,206666,False,False,True,1319,PHP,2011-12-01T07:05:17Z,,False,2019-12-07T06:41:09Z,2889328,"WordPress, Git-ified. Synced via SVN every 15 minutes, including branches and tags! This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit patches to https://core.trac.wordpress.org/ instead."
tensorflow/tensorflow,False,True,138599,8556,0,2019-12-07T08:58:26Z,30,78907,78907,138599,3153,False,455086,False,False,True,3123,C++,2015-11-07T01:19:20Z,,False,2019-12-07T09:05:57Z,45717250,An Open Source Machine Learning Framework for Everyone
laravel/laravel,False,True,56524,4639,0,2019-12-06T15:55:20Z,0,17423,17423,56524,27,False,9890,False,False,True,218,PHP,2011-06-08T03:06:08Z,,False,2019-12-07T07:07:54Z,1863329,A PHP framework for web artisans
Semantic-Org/Semantic-UI,False,True,46950,1433,0,2019-11-21T15:36:01Z,30,4953,4953,46950,962,True,112233,False,False,True,932,JavaScript,2013-04-08T23:32:04Z,,False,2019-12-07T20:52:58Z,9309093,Semantic is a UI component framework based around useful principles from natural language.
rivo/tview,False,True,3758,88,0,2019-11-29T06:51:47Z,24,224,224,3758,35,True,3448,False,False,True,11,Go,2017-12-15T14:28:14Z,,False,2019-12-07T03:36:19Z,114379163,Rich interactive widgets for terminal-based UIs written in Go
jakubroztocil/httpie,False,True,44894,1087,0,2019-12-04T17:48:46Z,23,2902,2902,44894,147,False,5609,False,False,True,124,Python,2012-02-25T12:39:13Z,,False,2019-12-07T06:13:47Z,3544424,"As easy as HTTPie /aitch-tee-tee-pie/  🥧 Modern command line HTTP client – user-friendly curl alternative with intuitive UI, JSON support, syntax highlighting, wget-like downloads, extensions, etc.  https://twitter.com/clihttp"
anmitsu/go-shlex,False,True,13,3,0,2016-10-02T11:50:50Z,0,1,1,13,0,True,4,False,False,True,0,Go,2015-05-31T05:48:47Z,,False,2019-08-23T03:39:37Z,36589949,A library to make a lexical analyzer like Unix shell for golang.
twbs/bootstrap,False,True,137472,7219,0,2019-12-07T08:34:15Z,30,67619,67619,137472,400,False,149800,False,False,True,370,JavaScript,2011-07-29T21:19:00Z,,True,2019-12-07T09:08:20Z,2126244,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
PanJiaChen/vue-element-admin,False,True,46222,1858,0,2019-12-04T02:34:24Z,26,15756,15756,46222,509,True,15099,False,False,True,483,Vue,2017-04-17T03:35:49Z,,True,2019-12-07T18:59:26Z,88464704,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
