full_name,disabled,has_projects,stargazers_count,subscribers_count,self_issue_count,pushed_at,pull_count,network_count,forks,watchers,open_issues,has_wiki,size,archived,fork,has_downloads,issue_count,language,created_at,mirror_url,has_pages,updated_at,id,description
WordPress/WordPress,False,False,13198,1461,0,2019-12-06T22:44:10Z,0,8060,8060,13198,0,False,206666,False,False,True,1319,PHP,2011-12-01T07:05:17Z,,False,2019-12-07T06:41:09Z,2889328,"WordPress, Git-ified. Synced via SVN every 15 minutes, including branches and tags! This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit patches to https://core.trac.wordpress.org/ instead."
tensorflow/tensorflow,False,True,138599,8556,0,2019-12-07T08:58:26Z,30,78907,78907,138599,3153,False,455086,False,False,True,3123,C++,2015-11-07T01:19:20Z,,False,2019-12-07T09:05:57Z,45717250,An Open Source Machine Learning Framework for Everyone
laravel/laravel,False,True,56524,4639,0,2019-12-06T15:55:20Z,0,17423,17423,56524,27,False,9890,False,False,True,218,PHP,2011-06-08T03:06:08Z,,False,2019-12-07T07:07:54Z,1863329,A PHP framework for web artisans
rivo/tview,False,True,3758,88,0,2019-11-29T06:51:47Z,24,224,224,3758,35,True,3448,False,False,True,11,Go,2017-12-15T14:28:14Z,,False,2019-12-07T03:36:19Z,114379163,Rich interactive widgets for terminal-based UIs written in Go
jakubroztocil/httpie,False,True,44894,1087,0,2019-12-04T17:48:46Z,23,2902,2902,44894,147,False,5609,False,False,True,124,Python,2012-02-25T12:39:13Z,,False,2019-12-07T06:13:47Z,3544424,"As easy as HTTPie /aitch-tee-tee-pie/  🥧 Modern command line HTTP client – user-friendly curl alternative with intuitive UI, JSON support, syntax highlighting, wget-like downloads, extensions, etc.  https://twitter.com/clihttp"
anmitsu/go-shlex,False,True,13,3,0,2016-10-02T11:50:50Z,0,1,1,13,0,True,4,False,False,True,0,Go,2015-05-31T05:48:47Z,,False,2019-08-23T03:39:37Z,36589949,A library to make a lexical analyzer like Unix shell for golang.
twbs/bootstrap,False,True,137472,7219,0,2019-12-07T08:34:15Z,30,67619,67619,137472,400,False,149800,False,False,True,370,JavaScript,2011-07-29T21:19:00Z,,True,2019-12-07T09:08:20Z,2126244,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
NaturalNode/natural,False,True,8942,308,0,2019-11-11T03:30:56Z,2,834,834,8942,82,True,12221,False,False,True,80,JavaScript,2011-05-07T02:35:16Z,,True,2019-12-06T17:46:50Z,1714160,general natural language facilities for node
torvalds/linux,False,True,83708,6854,0,2019-12-07T00:48:47Z,30,29303,29303,83708,308,False,2764734,False,False,True,8370,C,2011-09-04T22:48:12Z,,False,2019-12-07T08:51:24Z,2325298,Linux kernel source tree
kubernetes/kubernetes,False,True,60874,3076,0,2019-12-07T06:38:37Z,30,21506,21506,60874,3307,False,888503,False,False,True,3277,Go,2014-06-06T22:56:04Z,,False,2019-12-07T06:44:06Z,20580498,Production-Grade Container Scheduling and Management
atom/atom,False,True,50604,2468,0,2019-12-06T21:41:27Z,30,13520,13520,50604,579,False,314970,False,False,True,549,JavaScript,2012-01-20T18:18:21Z,,False,2019-12-07T02:42:27Z,3228505,:atom: The hackable text editor
django/django,False,False,45711,2211,0,2019-12-07T05:13:35Z,30,19751,19751,45711,249,False,193253,False,False,True,1424,Python,2012-04-28T02:47:18Z,,False,2019-12-07T06:02:11Z,4164482,The Web framework for perfectionists with deadlines.
nodejs/node,False,True,66280,2924,1,2019-12-07T05:48:45Z,30,15624,15624,66280,1186,False,534021,False,False,True,1155,JavaScript,2014-11-26T19:57:11Z,,False,2019-12-07T05:47:58Z,27193779,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
expressjs/express,False,False,46414,1815,0,2019-12-07T04:41:06Z,30,7772,7772,46414,186,True,8848,False,False,True,156,JavaScript,2009-06-26T18:56:01Z,,False,2019-12-07T07:53:48Z,237159,"Fast, unopinionated, minimalist web framework for node."
vuejs/vue,False,True,153539,6017,0,2019-12-07T07:36:38Z,30,22935,22935,153539,410,True,27977,False,False,True,380,JavaScript,2013-07-29T03:24:51Z,,False,2019-12-07T08:59:55Z,11730342,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web."
spring-projects/spring-boot,False,True,43904,3346,6,2019-12-06T23:14:06Z,29,27952,27952,43904,412,True,112568,False,False,True,377,Java,2012-10-19T15:02:57Z,,True,2019-12-07T07:12:41Z,6296790,Spring Boot
angular/angular.js,False,True,59620,4124,0,2019-11-27T08:51:58Z,30,28845,28845,59620,468,True,100306,False,False,True,438,JavaScript,2010-01-06T00:34:37Z,,False,2019-12-07T03:21:17Z,460078,AngularJS - HTML enhanced for web apps!
